anchor,slug,title,releaseDate,category,categoryName,mark,badge,type,description,tracks,appleMusic,spotify,youtubeMusic,lineMusic,youtube,officialLink,purchase,cover,order,published
caution,caution,Caution,2026-05-29,digital,Collaboration Single,NEW,Collaboration Single,Digital Single,Anderson .Paakとのコラボレーションシングル。,Caution,https://bit.ly/4wX3fvU,https://bit.ly/4dRBrAj,,,,,,assets/discography/caution.jpg,150,true
heavy-serenade,heavy-serenade,Heavy Serenade,2026-05-11,mini,5th EP,LATEST,5th EP,5th EP,Heavy Ver. / Serenade Ver. / POCAALBUM Ver. / Melody Box Ver.。公式配信・MV・購入リンクを掲載しています。,Crescendo | Heavy Serenade | IDESERVEIT | Different Girl | Superior | LOUD,https://music.apple.com/jp/album/heavy-serenade-ep/1895913782,https://open.spotify.com/album/18i8wouCElE4oR6OqfFecg,https://music.youtube.com/playlist?list=OLAK5uy_md4y1seQXLJ2UE-1bsVLeCjP4QvIbl4kM,,https://www.youtube.com/watch?v=6Ycn9qZK09I,https://nmixx.lnk.to/heavyserenade,https://jp.ktown4u.com/eventsub?eve_no=13135207&biz_no=783,assets/discography/heavy-serenade.jpg,130,true
tic-tic,tic-tic,TIC TIC (feat. Pabllo Vittar),2026-02-26,digital,Collaboration Single,,Collaboration Single,Digital Single,Pabllo Vittarを迎えたコラボレーションシングル。,TIC TIC (feat. Pabllo Vittar),,https://bit.ly/4aBLDwn,,,https://www.youtube.com/watch?v=1tkjwhhYIFU,,,assets/discography/tic-tic.jpg,140,true
blue-valentine,blue-valentine,Blue Valentine,2025-10-13,full,1st Full Album,,1st Full Album,1st Full Album,NMIXX初のフルアルバム。,Blue Valentine | SPINNIN' ON IT | Phoenix | Reality Hurts | RICO | Game Face | PODIUM | Crush On You | ADORE U | Shape Of Love | O.O Part1 (Baila) | O.O Part2 (Superhero),https://music.apple.com/jp/album/blue-valentine/1840646668,https://open.spotify.com/album/0fDy1DwMawX4l1nvV2diwW,,https://lin.ee/ZfM228a,https://www.youtube.com/watch?v=EmeW6li6bbo,,,assets/discography/bluevalentine.jpg,120,true
forward,fe3o4-forward,Fe3O4: FORWARD,2025-03-17,mini,4th Mini Album,,4th Mini Album,4th Mini Album,Fe3O4シリーズのミニアルバム。,High Horse | KNOW ABOUT ME | Slingshot | Golden Recipe | Papillon | Ocean,https://music.apple.com/jp/album/fe3o4-forward-ep/1801415025,https://open.spotify.com/album/3ypVkFQVBorVyk2hdaYs4w,,https://lin.ee/JUmjZ47,https://www.youtube.com/watch?v=aFrQIJ5cbRc,,,assets/discography/forward.jpg,110,true
stick-out,fe3o4-stick-out,Fe3O4: STICK OUT,2024-08-19,mini,3rd Mini Album,,3rd Mini Album,3rd Mini Album,タイトル曲「별별별 (See that?)」を収録。,"별별별 (See that?) | SICKUHH (Feat. Kid Milli) | Red light sign, but we go | BEAT BEAT | Moving On | Love Is Lonely",https://music.apple.com/jp/album/fe3o4-stick-out/1762599144,https://open.spotify.com/album/0RRWmhro004YXI7Yak0EpW,,https://lin.ee/e7lgBHL,https://www.youtube.com/watch?v=_Q8Jskeps9w,,,assets/discography/stickout.jpg,100,true
break,fe3o4-break,Fe3O4: BREAK,2024-01-15,mini,2nd Mini Album,,2nd Mini Album,2nd Mini Album,タイトル曲「DASH」を収録。,DASH | Soñar (Breaker) | Run For Roses | BOOM | Passionfruit | XOXO | Break The Wall,https://music.apple.com/jp/album/fe3o4-break/1723294480,https://open.spotify.com/album/5eFVAS7IWjTOGGkJ1yO16y,,https://lin.ee/0u92dkV,https://www.youtube.com/watch?v=7UecFm_bSTU,,,assets/discography/break.jpg,90,true
midsummer,a-midsummer-nmixxs-dream,A Midsummer NMIXX's Dream,2023-07-11,single,3rd Single,,3rd Single,3rd Single,「Party O’Clock」「Roller Coaster」を収録。,Party O'Clock | Roller Coaster | Party O'Clock (Inst.) | Roller Coaster (Inst.),https://music.apple.com/jp/album/a-midsummer-nmixxs-dream-ep/1696035159,https://open.spotify.com/album/5WkQD2MLRhNL1Wbd85BnWg,,https://lin.ee/TGZ82pCt,https://www.youtube.com/watch?v=Rd2wppggYxo,,,assets/discography/midsummer.jpg,80,true
expergo,expergo,expérgo,2023-03-20,mini,1st Mini Album,,1st Mini Album,1st Mini Album,タイトル曲「Love Me Like This」を収録。,"Young, Dumb, Stupid | Love Me Like This | PAXXWORD | Just Did It | My Gosh | HOME",https://music.apple.com/jp/album/exp%C3%A9rgo-ep/1677508713,https://open.spotify.com/album/2mKUepexXVL69G8bBK9ECB,,https://lin.ee/iNAbXqO,https://www.youtube.com/watch?v=EDnwWcFpObo,,,assets/discography/expergo.jpg,70,true
funky-glitter-christmas,funky-glitter-christmas,Funky Glitter Christmas,2022-11-23,digital,Interaction Single,,Interaction Single,Interaction Single,ウィンターシーズンのスペシャルシングル。,Funky Glitter Christmas,,,,,https://www.youtube.com/watch?v=kBwikDvbRbI,,,assets/discography/funky-glitter-christmas.jpg,65,true
entwurf,entwurf,ENTWURF,2022-09-19,single,2nd Single,,2nd Single,2nd Single,タイトル曲「DICE」を収録。,DICE | COOL (Your rainbow) | DICE (Inst.) | COOL (Your rainbow) (Inst.),https://music.apple.com/jp/album/entwurf-ep/1642886010,https://open.spotify.com/album/6PjYm8BNtMDDsflyAQUcDx,,,https://www.youtube.com/watch?v=p1bjnyDqI9k,,,assets/discography/entwurf.jpg,60,true
ad-mare,ad-mare,AD MARE,2022-02-22,single,1st Single,DEBUT,1st Single,1st Single,NMIXXのデビューシングル。,占 (TANK) | O.O | 占 (TANK) (Inst.) | O.O (Inst.),https://music.apple.com/jp/album/ad-mare-single/1610287113,https://open.spotify.com/album/3wQKp80j1uQ7LCMdhz352l,,,https://www.youtube.com/watch?v=3GWscde8rM8,,,assets/discography/admare.jpg,50,true
