title,song,date,program,description,videoUrl,image,order,videoLabel,score
Love Me Like This - SHOW CHAMPION,Love Me Like This,2023-03-29,SHOW CHAMPION,"NMIXX初の音楽番組1位（9,176点）。",https://www.youtube.com/watch?v=O8zBPFYgz04,assets/discography/expergo.jpg,1,アンコール・受賞映像を見る,9176
DASH - SHOW CHAMPION,DASH,2024-01-24,SHOW CHAMPION,"「DASH」でSHOW CHAMPIONの1位を獲得（6,849点）。",https://www.youtube.com/watch?v=hoHy38Jjkvg,assets/discography/break.jpg,2,アンコール・受賞映像を見る,6849
DASH - M COUNTDOWN,DASH,2024-01-25,M COUNTDOWN,"「DASH」でM COUNTDOWNの1位を獲得（9,338点）。",https://www.youtube.com/watch?v=hoHy38Jjkvg,assets/discography/break.jpg,3,アンコール・受賞映像を見る,9338
DASH - Music Bank,DASH,2024-01-26,Music Bank,"「DASH」でMusic Bankの1位を獲得（11,952点）。",https://www.youtube.com/watch?v=hoHy38Jjkvg,assets/discography/break.jpg,4,アンコール・受賞映像を見る,11952
DASH - Inkigayo,DASH,2024-01-28,Inkigayo,"「DASH」でInkigayoの1位を獲得（5,901点）。",https://www.youtube.com/watch?v=hoHy38Jjkvg,assets/discography/break.jpg,5,アンコール・受賞映像を見る,5901
See that? - M COUNTDOWN,See that?,2024-08-29,M COUNTDOWN,"「See that?」でM COUNTDOWNの1位を獲得（10,293点）。",https://www.youtube.com/watch?v=NCQ89aLx54Y,assets/discography/stickout.jpg,6,アンコール・受賞映像を見る,10293
See that? - Music Bank,See that?,2024-08-30,Music Bank,"「See that?」でMusic Bankの1位を獲得（11,821点）。",https://www.youtube.com/watch?v=NCQ89aLx54Y,assets/discography/stickout.jpg,7,アンコール・受賞映像を見る,11821
See that? - Inkigayo,See that?,2024-09-01,Inkigayo,"「See that?」でInkigayoの1位を獲得（6,591点）。",https://www.youtube.com/watch?v=NCQ89aLx54Y,assets/discography/stickout.jpg,8,アンコール・受賞映像を見る,6591
KNOW ABOUT ME - SHOW CHAMPION,KNOW ABOUT ME,2025-03-26,SHOW CHAMPION,"「KNOW ABOUT ME」でSHOW CHAMPIONの1位を獲得（6,865点）。",https://www.youtube.com/watch?v=0rp54oXvJ4o,assets/discography/forward.jpg,9,アンコール・受賞映像を見る,6865
KNOW ABOUT ME - Music Bank,KNOW ABOUT ME,2025-03-28,Music Bank,"「KNOW ABOUT ME」でMusic Bankの1位を獲得（11,040点）。",https://www.youtube.com/watch?v=0rp54oXvJ4o,assets/discography/forward.jpg,10,アンコール・受賞映像を見る,11040
KNOW ABOUT ME - Inkigayo,KNOW ABOUT ME,2025-03-30,Inkigayo,"「KNOW ABOUT ME」でInkigayoの1位を獲得（5,070点）。",https://www.youtube.com/watch?v=0rp54oXvJ4o,assets/discography/forward.jpg,11,アンコール・受賞映像を見る,5070
Blue Valentine - SHOW CHAMPION,Blue Valentine,2025-10-22,SHOW CHAMPION,"「Blue Valentine」でSHOW CHAMPIONの1位を獲得（8,614点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,12,アンコール・受賞映像を見る,8614
Blue Valentine - M COUNTDOWN,Blue Valentine,2025-10-23,M COUNTDOWN,"「Blue Valentine」でM COUNTDOWNの1位を獲得（9,958点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,13,アンコール・受賞映像を見る,9958
