id,title,date,start,end,category,type,description,link,linkLabel,image,source
zero-frontier-0,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Incheon / INSPIRE ARENA,2025-11-29,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-1,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Incheon / INSPIRE ARENA,2025-11-30,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-2,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Madrid / PALACIO VISTALEGRE,2026-03-17,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-3,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Amsterdam / AFAS LIVE,2026-03-20,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-4,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Paris / SALLE PLEYEL,2026-03-22,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-5,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Frankfurt / MYTICKET JAHRHUNDERTHALLE,2026-03-24,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-6,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / London / EVENTIM APOLLO,2026-03-26,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-7,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Toronto / GREAT CANADIAN TORONTO,2026-03-29,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-8,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Brooklyn / BROOKLYN PARAMOUNT,2026-03-31,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-9,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / National Harbor / MGM NATIONAL HARBOR,2026-04-02,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-10,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Irving / TOYOTA MUSIC FACTORY,2026-04-04,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-11,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Oakland / PARAMOUNT THEATRE,2026-04-07,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-12,NMIXX 1ST WORLD TOUR <EPISODE 1: ZERO FRONTIER> / Los Angeles / YOUTUBE THEATER,2026-04-09,,,event,LIVE,ワールドツアー公演。,,,,repository
zero-frontier-tokyo-1,ZERO FRONTIER IN JAPAN / KEIO ARENA TOKYO,2026-08-08,2026-08-08T16:30:00+09:00,2026-08-08T20:00:00+09:00,event,LIVE,OPEN 16:30 / START 17:30,fan-services.html#tour,公演情報を見る,assets/news/zero-frontier-japan.jpg,repository
zero-frontier-tokyo-2,ZERO FRONTIER IN JAPAN / KEIO ARENA TOKYO,2026-08-09,2026-08-09T15:00:00+09:00,2026-08-09T18:30:00+09:00,event,LIVE,OPEN 15:00 / START 16:00,fan-services.html#tour,公演情報を見る,assets/news/zero-frontier-japan.jpg,repository
w-start,W会員先行 受付開始,2026-03-13,,,notice,FC,日本公演のチケット先行受付。,fan-services.html#fanclub,FC案内を見る,,repository
w-end,W会員先行 締切 23:59,2026-03-26,,,notice,FC,日本公演のチケット先行受付。,fan-services.html#fanclub,FC案内を見る,,repository
fc-start,NSWER JAPAN先行 受付開始,2026-03-27,,,notice,FC,日本公演のチケット先行受付。,fan-services.html#fanclub,FC案内を見る,,repository
fc-end,NSWER JAPAN先行 締切 23:59,2026-04-05,,,notice,FC,日本公演のチケット先行受付。,fan-services.html#fanclub,FC案内を見る,,repository
mobile-start,NSWER JAPAN MOBILE先行 受付開始,2026-04-06,,,notice,FC,日本公演のチケット先行受付。,fan-services.html#fanclub,FC案内を見る,,repository
mobile-end,NSWER JAPAN MOBILE先行 締切 23:59,2026-04-15,,,notice,FC,日本公演のチケット先行受付。,fan-services.html#fanclub,FC案内を見る,,repository
heavy-serenade-release,5th EP「Heavy Serenade」リリース,2026-05-11,2026-05-11T18:00:00+09:00,,release,RELEASE,NMIXX 5th EPの発売日。,discography.html#heavy-serenade,作品を見る,assets/news/heavy-serenade-schedule.jpg,repository
